Date,Company_ID,Ticker,Market_Cap_Billion_HKD,Market_Cap_Native_Billion,Currency,Close,Source,Updated_At
2026-03-27,zhipu,2513.HK,297.823180,297.823180,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-30,minimax,0100.HK,318.026200,318.026200,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-30,zhipu,2513.HK,327.025910,327.025910,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-31,minimax,0100.HK,291.524020,291.524020,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-03-31,zhipu,2513.HK,309.192180,309.192180,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-01,minimax,0100.HK,332.453430,332.453430,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-01,zhipu,2513.HK,407.946430,407.946430,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-02,minimax,0100.HK,297.796720,297.796720,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-02,zhipu,2513.HK,347.311770,347.311770,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-08,minimax,0100.HK,313.321670,313.321670,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-08,zhipu,2513.HK,387.214720,387.214720,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-09,minimax,0100.HK,313.008040,313.008040,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-09,zhipu,2513.HK,414.411150,414.411150,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-10,minimax,0100.HK,313.008040,313.008040,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-10,zhipu,2513.HK,417.309130,417.309130,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-13,minimax,0100.HK,301.089900,301.089900,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-13,zhipu,2513.HK,426.894760,426.894760,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-14,minimax,0100.HK,298.267180,298.267180,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-14,zhipu,2513.HK,422.659250,422.659250,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-15,minimax,0100.HK,265.805920,265.805920,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-15,zhipu,2513.HK,386.545960,386.545960,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-16,minimax,0100.HK,282.428590,282.428590,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-16,zhipu,2513.HK,393.679450,393.679450,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-17,minimax,0100.HK,269.412730,269.412730,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-17,zhipu,2513.HK,397.246190,397.246190,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-20,minimax,0100.HK,285.878580,285.878580,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-20,zhipu,2513.HK,434.697010,434.697010,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-21,minimax,0100.HK,281.801320,281.801320,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-21,zhipu,2513.HK,423.550940,423.550940,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-22,minimax,0100.HK,291.053570,291.053570,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-22,zhipu,2513.HK,439.601290,439.601290,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-23,minimax,0100.HK,269.255910,269.255910,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-23,zhipu,2513.HK,458.326700,458.326700,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-24,minimax,0100.HK,243.851450,243.851450,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-24,zhipu,2513.HK,416.863290,416.863290,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-27,minimax,0100.HK,235.226480,235.226480,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-27,zhipu,2513.HK,407.723510,407.723510,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-28,minimax,0100.HK,226.915150,226.915150,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-28,zhipu,2513.HK,356.674470,356.674470,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-29,minimax,0100.HK,222.053800,222.053800,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-29,zhipu,2513.HK,364.030880,364.030880,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-30,minimax,0100.HK,223.621970,223.621970,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-04-30,zhipu,2513.HK,386.991800,386.991800,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-04,minimax,0100.HK,251.849150,251.849150,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-04,zhipu,2513.HK,426.671840,426.671840,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-05,minimax,0100.HK,245.419630,245.419630,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-05,zhipu,2513.HK,409.952720,409.952720,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-06,minimax,0100.HK,251.692330,251.692330,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-06,zhipu,2513.HK,413.965310,413.965310,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-07,minimax,0100.HK,257.337770,257.337770,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-07,zhipu,2513.HK,434.697010,434.697010,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-08,minimax,0100.HK,232.874220,232.874220,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-08,zhipu,2513.HK,411.513170,411.513170,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
